rank	word	hsk_level	pos	tier_in_166	note	opus_freq	df_pct
1	的	HSK1	助	core162		4329271	99.8936
2	我	HSK1	代	core162		4250866	99.6809
3	你	HSK1	代	core162		3856761	99.696
4	了	HSK3	动	core162		2401228	99.8328
5	是	HSK1	动	core162		1878632	99.7416
6	在	HSK1	动、介、副	core162		1125061	99.8024
7	他	HSK1	代	core162		1050077	99.3617
8	我们	HSK1	代	core162		1023022	99.5137
9	吗	HSK1	助	core162		845368	99.2249
10	不	HSK1	副	core162		827270	99.5745
11	什么	HSK1	代	core162		676844	99.1337
12	好	HSK4	动	core162		642125	99.5289
13	就	HSK1	副	core162		579028	99.4985
14	吧	HSK1	助	core162		577614	99.2553
15	有	HSK1	动	core162		560674	99.5897
16	这	HSK1	代	core162		534449	99.6505
17	说	HSK1	动	core162		525317	99.2401
18	她	HSK1	代	core162		522666	97.4316
19	知道	HSK1	动	core162		485274	99.2553
20	都	HSK1	副	core162		475599	99.3769
21	去	HSK1	动	core162		427704	99.4073
22	要	HSK4	连	core162		423130	99.4225
23	很	HSK1	副	core162		420761	99.1793
24	他们	HSK1	代	core162		413410	98.5258
25	会	HSK2	名	core162		396909	99.4073
26	那	HSK2	连	core162		376930	99.2705
27	也	HSK1	副	core162		375857	99.3313
28	来	HSK1	动	core162		370964	99.5897
29	啊	HSK4	叹	core162		388009	94.4073
30	想	HSK1	动	core162		361143	99.2401
31	人	HSK1	名	core162		357004	99.4073
32	对	HSK2	介、动	core162		325784	99.2249
33	一个			core162		323879	99.1033
34	和	HSK1	介、连	core162		327522	97.69
35	没有	HSK1	动、副	core162		317979	99.2857
36	把	HSK3	量	core162		309887	99.1489
37	给	HSK1	动、介	core162		298491	99.3617
38	让	HSK2	动、介	core162		286483	99.2249
39	不是			core162		286043	99.1033
40	做	HSK1	动	core162		276192	98.9666
41	你们	HSK1	代	core162		274218	97.69
42	还	HSK1	动	core162		245267	99.1033
43	可以	HSK2	动	core162		241626	98.7842
44	现在	HSK1	名	core162		235946	99.0881
45	这个			core162		231245	98.7234
46	到	HSK1	动	core162		222869	99.4529
47	怎么	HSK1	代	core162		223624	98.1307
48	没	HSK1	副、动	core162		222831	98.0243
49	呢	HSK1	助	core162		219084	98.1003
50	走	HSK1	动	core162		208968	98.541
51	能	HSK1	动	core162		201455	97.7508
52	跟	HSK1	介、连、动	core162		207345	94.8936
53	就是	HSK3	连	core162		197146	98.4043
54	这样	HSK2	代	core162		194695	98.769
55	这里	HSK1	代	core162		195078	97.1884
56	个	HSK1	量	core162		191105	97.4316
57	但	HSK2	连	core162		198818	93.6018
58	上	HSK1	名、动	core162		176413	98.6626
59	如果	HSK2	连	core162		176705	96.0486
60	被	HSK3	介	core162		170135	98.0547
61	看	HSK6	动	core162		167444	98.6778
62	得	HSK4	动	core162		170124	96.9605
63	它	HSK2	代	core162		176652	93.3739
64	过	HSK2	助	core162		164781	98.4347
65	谁	HSK1	代	core162		164415	98.4195
66	不会			core162		163811	98.5562
67	事	HSK1	名	core162		155850	97.538
68	自己	HSK2	代	core162		147718	97.386
69	着	HSK4	动	core162		153007	93.9666
70	告诉	HSK1	动	core162		148424	96.8541
71	为什么	HSK2		core162		145792	96.6565
72	不要	HSK2	副	core162		142368	96.6717
73	不能			core162		134991	97.6596
74	已经	HSK2	副	core162		135217	96.9301
75	再	HSK1	副	core162		131963	97.9179
76	谢谢	HSK1	动	core162		134638	95.2128
77	真的	HSK1		core162		131748	96.8997
78	快	HSK1	形、副	core162		131801	94.9392
79	这是			core162		129305	96.7173
80	这么	HSK2	代	core162		124651	96.6413
81	别	HSK4	动	core162		128797	93.3891
82	只是	HSK3	副、连	core162		123133	95.6383
83	先生	HSK1	名	core162		140418	83.2675
84	那个			core162		122593	95.076
85	因为	HSK2	连、介	core162		119311	95.5471
86	叫	HSK3	介	core162		117364	97.0365
87	喜欢	HSK1	动	core162		119403	94.5745
88	我要			core162		116343	96.155
89	听	HSK1	动	core162		115938	96.4742
90	像	HSK7-9	名	core162		115464	95.5471
91	还有	HSK1		core162		109534	96.8237
92	东西	HSK1	名	core162		108374	96.383
93	又	HSK2	副	core162		109023	95.7751
94	找	HSK1	动	core162		108075	96.0334
95	需要	HSK3	动、名	core162		111410	92.2948
96	请	HSK1	动	core162		106312	95.6231
97	我会			core162		104026	95.304
98	里	HSK1	名	core162		104692	93.8602
99	时候	HSK1	名	core162		103352	95.0608
